sample_id,timestamp,lat_rx_wls_deg,lon_rx_wls_deg,alt_rx_wls_m,latDeg,lngDeg,heightAboveWgs84EllipsoidM,distance_error,folder
1,1273529525442.0,37.42280231250826,-122.09598344858088,-123.27149609947416,37.4235760824,-122.0941319964,33.14,184.7541218289451,2020-05-14-US-MTV-1\Pixel4
2,1273529526442.0,37.42435914513856,-122.09354691416898,380.2714486640345,37.4235760893,-122.0941319943,33.14,101.24685875138607,2020-05-14-US-MTV-1\Pixel4
3,1273529527442.0,37.42435519991331,-122.09351281987028,382.4260983252197,37.4235760924,-122.0941319776,33.14,102.44353303118439,2020-05-14-US-MTV-1\Pixel4
4,1273529528442.0,37.42435905946769,-122.09351432016042,382.2040869881075,37.4235761138,-122.094131956,33.14,102.73328725731433,2020-05-14-US-MTV-1\Pixel4
5,1273529529442.0,37.42434467942438,-122.0935223915063,382.3970358414617,37.4235761751,-122.0941319417,33.14,100.99370890974457,2020-05-14-US-MTV-1\Pixel4
6,1273529530442.0,37.423314880632525,-122.09473444858476,410.4955003442551,37.4235768927,-122.0941318219,33.14,60.66949771100666,2020-05-14-US-MTV-1\Pixel4
7,1273529531442.0,37.42407965255424,-122.0947108240902,102.30262319014804,37.4235790106,-122.0941314539,33.14,75.60821955098287,2020-05-14-US-MTV-1\Pixel4
8,1273529532442.0,37.42406942233119,-122.09473720616587,109.80329162325378,37.4235860618,-122.0941302169,33.15,75.90692740674962,2020-05-14-US-MTV-1\Pixel4
9,1273529533442.0,37.42251153789368,-122.09506924413128,843.5794967862843,37.423601127,-122.0941278928,33.18,146.93305749706533,2020-05-14-US-MTV-1\Pixel4
10,1273529534442.0,37.4221474470305,-122.09692389763504,376.7844146580379,37.4236269169,-122.0941244779,33.21,296.94544053242527,2020-05-14-US-MTV-1\Pixel4
11,1273529535442.0,37.4225902078388,-122.09507715452489,841.0539652532674,37.4236608337,-122.0941209961,33.24,145.9517535396838,2020-05-14-US-MTV-1\Pixel4
12,1273529536442.0,37.42445349235891,-122.0935581511571,388.109487164066,37.4236923978,-122.0941175937,33.26,97.99392877537112,2020-05-14-US-MTV-1\Pixel4
13,1273529537442.0,37.424474828248215,-122.09350093101608,388.2051058893064,37.423715093,-122.0941036568,33.27,99.84742338559785,2020-05-14-US-MTV-1\Pixel4
14,1273529538442.0,37.42083789318944,-122.09375310545065,791.8885382699626,37.4237267042,-122.0940782593,33.31,322.5019385658708,2020-05-14-US-MTV-1\Pixel4
15,1273529539442.0,37.42457400786336,-122.0933571034684,-159.74168486841495,37.4237273783,-122.0940491565,33.38,112.23758240456344,2020-05-14-US-MTV-1\Pixel4
16,1273529540442.0,37.42418633489266,-122.09464922022684,104.51376110413392,37.4237198033,-122.0940115077,33.46,76.56636415137714,2020-05-14-US-MTV-1\Pixel4
17,1273529541442.0,37.42418724285659,-122.09458202506384,103.01243884045203,37.4237119254,-122.0939606082,33.56,76.18870791747958,2020-05-14-US-MTV-1\Pixel4
18,1273529542442.0,37.42417462613796,-122.094539754734,100.7148848074651,37.423705908,-122.0938974414,33.74,77.02997978480647,2020-05-14-US-MTV-1\Pixel4
19,1273529543442.0,37.424161598353685,-122.0944516275416,102.97683784589232,37.4237000166,-122.0938259268,33.99,75.41396383426516,2020-05-14-US-MTV-1\Pixel4
20,1273529544442.0,37.42494187298451,-122.09509278644305,-341.74495610319616,37.4236959129,-122.0937565295,34.23,181.98491379531163,2020-05-14-US-MTV-1\Pixel4
21,1273529545442.0,37.42417200289241,-122.09434192574597,103.52416669322815,37.4236940783,-122.0937041809,34.33,77.43238080406954,2020-05-14-US-MTV-1\Pixel4
22,1273529546442.0,37.424168844165024,-122.09430003987246,107.82231951055554,37.4236953518,-122.0936670339,34.36,76.78981228301524,2020-05-14-US-MTV-1\Pixel4
23,1273529547442.0,37.42240934445447,-122.09553378688672,606.6441605995224,37.4237067289,-122.093633132,34.34,221.3205216823425,2020-05-14-US-MTV-1\Pixel4
24,1273529548442.0,37.42440001767213,-122.09359839206458,935.7684728926338,37.4237277018,-122.0936076865,34.39,74.7626194484508,2020-05-14-US-MTV-1\Pixel4
25,1273529549442.0,37.42421938305565,-122.09419176336726,111.79106021487895,37.423758978,-122.0935884035,34.45,73.88995819765692,2020-05-14-US-MTV-1\Pixel4
26,1273529550442.0,37.42287340819771,-122.09524169434366,509.9795689802407,37.4238056883,-122.0935727203,34.5,180.1889303465503,2020-05-14-US-MTV-1\Pixel4
27,1273529551442.0,37.42164824119148,-122.09395046629294,384.6162584290868,37.4238661963,-122.0935580277,34.52,249.04832586569427,2020-05-14-US-MTV-1\Pixel4
28,1273529552442.0,37.4245250047961,-122.09295083401943,-179.29950215279686,37.4239407019,-122.0935475061,34.51,83.65120600875692,2020-05-14-US-MTV-1\Pixel4
29,1273529553442.0,37.41301461360722,-122.08643233690309,-277.612821010522,37.4240274835,-122.093538277,34.53,1376.008724524076,2020-05-14-US-MTV-1\Pixel4
30,1273529554442.0,37.423169140915,-122.09632778000748,96.67450214832915,37.4241234551,-122.0935295576,34.51,268.92391489618825,2020-05-14-US-MTV-1\Pixel4
31,1273529555442.0,37.423421702696,-122.09540608457766,-118.11234625090168,37.4242281315,-122.0935200141,34.47,189.1578503783323,2020-05-14-US-MTV-1\Pixel4
32,1273529556442.0,37.42353026432098,-122.09536601155914,-121.08140248804986,37.4243401886,-122.0935098752,34.42,187.02120571246726,2020-05-14-US-MTV-1\Pixel4
33,1273529557442.0,37.426266921028656,-122.0966825574789,16.55861634632083,37.4244542352,-122.0934999035,34.38,345.8509116355019,2020-05-14-US-MTV-1\Pixel4
34,1273529558442.0,37.41834350746223,-122.0984238749578,387.9384463299348,37.4245685207,-122.0934908849,34.35,817.86342167562,2020-05-14-US-MTV-1\Pixel4
35,1273529559442.0,37.421589318654654,-122.097805996786,1186.6581061882089,37.4246821134,-122.0934809461,34.31,513.948974866379,2020-05-14-US-MTV-1\Pixel4
36,1273529560442.0,37.419249739786416,-122.09557464186132,1291.4135175916065,37.4247942578,-122.0934671307,34.27,644.0010838909141,2020-05-14-US-MTV-1\Pixel4
37,1273529561442.0,37.426102526472654,-122.0971717214816,713.4183795566457,37.4249016594,-122.0934433678,34.2,355.2798349318128,2020-05-14-US-MTV-1\Pixel4
38,1273529562442.0,37.42671416878376,-122.09484821256002,132.1475114079689,37.4249982213,-122.0934067295,34.15,229.3664689639112,2020-05-14-US-MTV-1\Pixel4
39,1273529563442.0,37.42744586502793,-122.09535285114336,165.42342229569388,37.4250794239,-122.0933598146,34.09,316.5662521262754,2020-05-14-US-MTV-1\Pixel4
40,1273529564442.0,37.4281183659549,-122.09571400500568,187.4862073970012,37.4251401901,-122.0933121061,34.05,393.2561184826834,2020-05-14-US-MTV-1\Pixel4
