,平均偏差(米),最大偏差(米),最小偏差(米),标准差(米),中位数偏差(米),95%偏差(米)
2020-05-14-US-MTV-1\Pixel4,214.9314096790954,1376.008724524076,11.775073837517837,120.48132063957915,175.79742454474203,455.3702355157189
2020-05-14-US-MTV-2\Pixel4XLModded,111.70727966392157,1388.5011915054731,5.6307566028684946,142.47806765224897,60.42827673785956,425.79895263342615
2020-05-29-US-MTV-2\Pixel4XL,283.3547659442275,951.4596160067473,20.119299700738196,125.34636474894697,260.144137838592,520.8705107725899
2020-06-04-US-MTV-1\Pixel4XL,227.05918811717243,3421.1225419488487,16.30819900986317,158.62568418587043,206.96571299412892,487.2480371632889
2020-06-05-US-MTV-1\Pixel4XL,256.77213476770686,1348.663071752798,6.858511814203832,139.18069314854552,236.47037359565098,492.4436959038776
2020-07-17-US-MTV-1\Mi8,26.415535314164824,42.439885479483785,9.995365568989381,4.205998388341056,26.8040238287274,32.37259000758991
2020-07-17-US-MTV-2\Mi8,82.3819714760462,46073.45253397323,5.108092643455767,1501.7035133671463,32.747103225098144,51.997458958751594
2020-08-03-US-MTV-1\Pixel4,272.7183605615077,8393.2995650268,5.003582570073656,206.9999224890256,264.4590568066885,428.95146402523415
2020-09-04-US-SF-1\Pixel4,98.46184873104413,745.2210624105408,1.0111506728573627,134.03401061698062,50.101305271287686,440.3163692397202
2021-01-04-US-RWC-2\Pixel5,412.8715754568197,1631.1340581846134,30.194579991229375,122.54439747289051,417.5770676901467,596.3387160511757
2021-01-05-US-SVL-1\Pixel5,105.54106662821349,898.6924117098984,5.990986030830397,75.75012288645077,85.20072807891536,230.32733908249136
2021-01-05-US-SVL-2\Pixel4XL,,,,,,
2021-04-15-US-MTV-1\Pixel5,545.5921393563723,1282.990141548085,19.05686663398939,140.39098890470362,559.8528959345972,735.4706373082588
2021-04-22-US-SJC-1\Pixel4,,,,,,
2021-04-28-US-SJC-1\Pixel4,326.4354437398724,2236.3192798046352,5.689171122759246,193.37570565493297,285.6896810680464,682.0851437615106
2021-04-29-US-MTV-1\Pixel5,115.91706953693169,815.5645196992876,9.41961455102806,79.33941687047471,101.30510945759197,248.29511553222028
2021-04-29-US-SJC-2\Pixel4,339.9198816886458,1504.5478819922616,19.345588135337042,180.8704013501283,319.139284266683,661.683044251564
